,sentiment,content
104,0,shoe taken slipper put foot
105,neutral,whatsupguru yeah hired guy named lenny tend rabbit year
106,0,iheartreading hey sorry got tweet puppy someone already got
107,0,got caught rain sand monsoon way home even though looked like complete idiot
108,neutral,watching simpson
109,neutral,good morning twitter quot er quot
110,0,jason inc sound good still like friday although mean go work tomarrow
111,0,xxpat not school wouldnt suck time
112,neutral,therealkristi many mile driving today time twitter
113,0,tip finger hurt lmao
114,neutral,aussie online check today tonight channel handsome man tonight
115,neutral,jackalltimelow oh mannn i m gonna tomorroww
116,neutral,madisonmitchell i d help poorer lol i m mexican living mx automatically make time poorer
117,0,going go bed amp failed miserably booking holiday although seem new follower high five x
118,0,kaliyahpjones lmao thats sad kinda discourages rom goin shit s wack
119,0,finished watching series return chaser war everything really quite crap compared used
120,neutral,john ray bright eye contentment
121,0,pouring outside cleaning locker bookbag heavy back arm killing
122,neutral,mrsthang ttooo
123,0,bout watch notorious cause that s i m feelin now wish could eat something can t surgery tomorrow food til saturday
124,0,waubonsie lost they re out i m soo pissed
125,neutral,jonasbrothers see you
126,neutral,murrion nope sliverlight client side tech
127,neutral,zeeble u dont even need go option button right on top right corner
128,neutral,think i m going movie tonight oda
129,neutral,felipeubill conectese xetitooooooooo
130,neutral,watching almost famous andrew michael yolanda
131,neutral,mannnn alllyy got iphone im jealous http bit ly ngnar
132,0,millionfagmarch ah misunderstood message really dislike f word url good luck march
133,0,stereophonics http twitpic com p well done guy gonna miss tweet
134,0,hippyofdoom even get chance shop aldi
135,neutral,yep good feeling last back sleeping me
136,neutral,got new clothes series one supernatural dvd
137,neutral,am still cant sleep
138,neutral,oooh harlow sweet
139,neutral,sanazj dunno tried various form nothing can t really like dislike cheese enigma
140,0,kalediscope girl cry i m allergic seafood
141,neutral,coming back ruston tomorrow
142,neutral,neillavin soz idea reason didnt take geography cz would fall asleep well lmao
143,neutral,traffic jam outside chicago feel quot office space quot right now
144,neutral,changhee cigs lighter
145,0,wordsaftersex hurt
146,0,life sad just reminder go phone recharge toothbrush
147,0,ooh feel sleepy a m dont wanna go school day to
148,0,oliverphelps good time sadly mean i m probably gonna rain
149,neutral,tps report
150,neutral,sarahdanger haha think we re situation lol
151,neutral,cxi thanks found link http bit ly uxofo however think need customer download
152,neutral,tarneisha boo come we ll watch telenovelas braid others hair
153,0,well official strep
154,neutral,devbanana nice idea c try ibm s tt work great imo
155,neutral,guser im
156,neutral,listening legally blonde musical soundtrack lamenting going anymore perhaps buy nosebleed seat go alone
157,0,zachflauaus note self never ever leave macbook pro stupid icurve fell off
158,neutral,tonyrobbins ok tell yourself i m different are
159,neutral,watching boring police prog making fab pasta dinner trying cut alcohol water
160,neutral,well java atleast im still working php solution
161,neutral,djjonblak wed night
162,0,giblahoj oh mother day france germany usa
163,neutral,that s two half hour completed now chillaxing half
164,0,i m relapse mom dad need you jesus fucking christ stay away
165,0,ah remember day sleep noon well guess today god feel like loser
166,neutral,bring pokemon forgot home
167,neutral,gailporter congrats first person i ve heard read say today
168,0,spoke class dreaded ch bio test
169,0,hate working night co i m really able enjoy gorgeous weather asleep
170,neutral,ha joestump i m giving spymaster chance curious miss u
171,neutral,computer class photo booth work
172,neutral,fancyfran yea nice im weekend
173,neutral,four full day left aussie land want go home
174,0,finellskii fun sad guy
175,neutral,followfriday nickw kevkevv vjartist liverpool follow ppl interesting vjartist doesnt tweet much though
176,0,oh no crashed ball pump
177,neutral,getting ready head camp allen unless somethings changed mean phone service hour
178,0,scopezum feel way hour sleep still exhausted ahh
179,neutral,twittering
180,0,going engagement party tommorrow night mine not stepping soapbox
181,neutral,zopfliesejule f you much willkommen im twitterland
182,neutral,radha oh please mark toe tweet toe fossiloflife trying make trening topic toe
183,neutral,im queen sorry got u sick
184,neutral,snowgirl think start house fit may go whole hog get sure yet
185,neutral,want meet bill
186,0,xbellamariex hello bella r going delete account
187,0,http twitpic com p jthawthorne ohio lover tattoo got design shirt haha lost shirt
188,0,facebook bitch
189,0,yagulmez yea got outta one too i want back tho feel way i m cool dude lil
190,0,day crappy want cry
191,0,aliwise tmz harvey levin type tmz find people
192,neutral,lacrossehawty rofl uh huh
193,neutral,gots sniffle
194,neutral,saygoodbyeluv thanks concern checking me much appreciated
195,neutral,bloggerdad i ll use next defense
196,neutral,aaronwarner know i m rogers i m pretty sure agreement twitter
197,neutral,room damn warm window open im still cooking
198,neutral,got case bubbly
199,neutral,elizabethlai mini collection star war figurine office allysont http twitpic com jb what s this
200,neutral,tomorrow afternoon well later today actually shoot seattle sinner newspaper femme fatale seattle photographer
201,0,cramp
202,neutral,maggit i ll visit ny til september diggnation
203,neutral,hi beautiful how s going ashleylovegood
204,0,stratus going bye bye today loved car high school fb
205,neutral,late n th night i ve nearly forgotten name backspaced trillion time apparently sleep inevitable nite
206,0,gained lb wish could afford something top ramen job
207,0,got people let skip sci pratical becos skola impt dont waste parent money nt fair
208,neutral,shaddybabybitch hello
209,neutral,rastin nope coquitlam
210,0,r going mad science sleep missing due back even get watch it
211,0,holy wow think could ve slept day soooo tired
212,neutral,wildarmsheero that s exactly follow you
213,neutral,saroar trudat even peppermint syrup starbucks
214,neutral,eugenechua aah well friend there wondering all s great weather s good
215,neutral,adding name twitter account learning use amazing thing
216,neutral,de examen al beu
217,neutral,temple starbuck
218,0,livinghandy de stay tuned http www livinghandy de
219,0,nursedoublek someone help makeup you gots go looking fine another shot
220,0,seriously bored now
221,0,again i m dealing cancer direct family bugger cancel suck
222,neutral,daysdifference jeremy made want sushi
223,0,datdoodrace thts kinda young me boo
224,neutral,wren know sorry
225,neutral,kalebnation dissapeared go ellen show
226,0,need new running shoe foot completely torn
227,0,jclayville feel pain lived apt mo previous tenant cat burning eye tight lung gregg
228,neutral,cbraik cute pretty
229,neutral,bruxels home really tired end song
230,neutral,great day and i m bed tomorrow i m back sd
231,neutral,cant find gonna sleepless night tonight
232,neutral,poojarazdan woohoo congrats friend boyfriend
233,neutral,vivienne m
234,0,wish could heading la e le sigh maybe someday
235,0,libbyoliver caught tweet got home time last min itv show bgt tonight miss
236,0,leischenshows always come money least rotten law average
237,neutral,bbheaven
238,neutral,amp time bed nite
239,0,sitting around fuck all tired
240,neutral,listing music putting finishing touch mother day present cool part cost thing
241,neutral,itssamaramorgan gosh need rude
242,0,jessiemayumi shame job thought working yourself there s big money paid http bit ly ml
243,neutral,brake time nothing lunch tonite
244,neutral,gailporter morning u
245,0,mavinbkk know wait worth november seems far away moment
246,neutral,elliejouzdani nothing going guess
247,neutral,we re one we re same get carry
248,neutral,nothing witty say
249,neutral,grrrr i got wrong size coat sheep
250,0,sure real state market moving confused either hold go ahead plan
251,neutral,willem happened dave
252,0,feel well feel like could throw up throat hurt really bad sad day
253,neutral,candycotoncrush
254,neutral,dougiemcfly bet
255,neutral,miss senior
256,neutral,ftskirstin taking forever upload
257,neutral,gfalcone bit hollie started cry
258,neutral,animuxia basquash k on ghost sengoku basara valkyria chronicle requiemforthephantom edenoftheeast
259,neutral,silverpearl hey there what s up
260,neutral,school home ap studying
261,0,got rock found car got birdied evening
262,0,probably going miss silverstone s race season iracing sad track pure laser scanned awesomeness
263,0,jjanebb include getaway music fail
264,0,watching quot that thing do quot comcast missing boo like crrrrrazy
265,0,morrgaan oh week bad one everyone love amp pretty face amp youre going fantastic concert tonight
266,0,looking food home nothing
267,0,watching qi dave still quite bored even adam davis cheer up he s quite funny
268,neutral,working summer
269,0,generaltekno getting rotf toy till much later tell anybody isn t is worth getting
270,0,omg someone left voicemail work ffs let day
271,neutral,knusee hug listening ebtg quot each amp every one quot perfect public hol monday morn cuppa
272,neutral,keza ok babe gotta go back work tweet later
273,0,broke bottle probably focus work instead thinking songgoeswrongs
274,neutral,gotta get early tomorrow gotta work
275,neutral,going miyake s sushi sake bomb
276,neutral,make google search page name http tinyurl com cj
277,0,need jb dread fact retail summer
278,neutral,home now invader taken base
279,0,wish school but sadly still like another month left
280,neutral,wanna go
281,neutral,checking way home rwady home
282,0,paulshadwell thanks trying done good can t fathom i ll take apple store sigh
283,0,woke nap ate nasi padang pisang cokelat
284,neutral,narotbahar u planning cardio hr that s reasonable whatcha last night
285,neutral,andrew johnson good night
286,neutral,hellenbach indeed hellen thought better get tog name rather use company name
287,neutral,lynettexl u go lmk let s go together
288,neutral,hoping go red lobster weekend
289,0,jimmyheartcore awwwww snaaaap jimmaaayy man hookup bad i m far away
290,neutral,hambers mean quot luv ya quot zulu xhosa probably spelt wrong lol can t b creative day tired translated
291,neutral,rhispect lol thx
292,0,mrinklin started saving tumblr draft happened week sad
293,0,missing ontario
294,neutral,justyassy dont
295,0,anant unfair good rock show happen b lore pune
296,0,made work get feelin blurgh
297,neutral,bigdaws know
298,0,watching original sabrina teenage witch movie different series rad
299,neutral,msdiazz ask long adrian took lmao intime
300,neutral,mellabella lived usa would gotto go park aunty life nyc bronx grrr
301,0,lozzyx noice realised exam week forgot whole week unit term thing
302,neutral,even number
303,neutral,rdkpickle movie maybe little awesome
304,neutral,may th
305,neutral,grazzini featured ykyat http ykyat com nnd
306,0,still sick sigh
307,neutral,got back putting laundry got last well long clean dsaa
308,0,shan sir i woulda put honey but
309,neutral,hey u forgot me
310,neutral,glamorousamanda awww cuuute mine follows shower peeï¿½s wherever go refuse lay still bed
311,0,jaz paige aww hey know you lol i m sick outtie me
312,0,ayesham bored class wanna go home
313,0,binary i m sorry make it
314,neutral,keytar still give computer break omg
315,neutral,shud realy go bed proper tired bt cnt b boverd x
316,0,gealbhan beag hate cat pee
317,neutral,ruth today
318,neutral,ohhh darn forgot phonecall make since monday great they re closed
319,neutral,fully inspired write song
320,0,laundry time lot it
321,neutral,waiting battery charge new dslr
322,neutral,ready costume making but there s one here
323,neutral,two month ago became worthless
324,neutral,shopping cleaning bmfing webcam chatting nephew nothing spesh good bank holiday monday nonetheless
325,0,michael scofiled noooooo hate writer director n production
326,neutral,hot ramen soup end longgg munching night
327,0,getape bad net issue wed broadcast tonight tho tune new anthem bad mixing
328,0,supergirlnancy sorry code posted site
329,neutral,affirmationspot around better
330,neutral,i m holding audrey mine erica s bean bag thing
331,neutral,hate karma down bakit kse nilagnat aq khpon http plurk com p wyju
332,neutral,elledeutsch ok text number i didnt saved sim
333,neutral,documentally always bit smug whistle blower denial stuff pretty spectacular
334,neutral,let google http lmgtfy com
335,neutral,thisisrobthomas enjoy springsteen i m seeing glastonbury june give u report get back
336,neutral,heading home
337,0,crypticirnangel thats bummer got one yet waiting year grrrrrrrrrrrrrrr
338,neutral,one friend deserve free hug
339,0,lilabiem awww meee haha gonna make saddd
340,0,feltbeats that s right kick i m down
341,neutral,eurgh revision invented history
342,0,day away evicted
343,0,i m starving diet killing can t eat pm
344,neutral,see doc bit get knee checked
345,0,am can t sleep thought b c im hungry whipped pb amp j milk hopefully work
346,0,im depressed pretty day everyone either something can t bleh
347,neutral,got home talk
348,0,niqa miss too mojokins go there long enough comment weekend
349,0,mmmmmshell miss u roommate
350,neutral,kaylaphlegar people dont get fender bender way school doesnt happen hahahahah
351,neutral,somebody check weather kthxbai
352,neutral,lexxluv nothing bout go work
353,neutral,jt regular snl
354,neutral,spontaneo anything good country
355,0,perezhilton hey perez good luck well i m still planning big present given mom love mom
356,neutral,new tattoo design check placement idea
357,0,bos i d like check leave please
358,neutral,ehhh scratch laying out no sun going lunchhhhh
359,neutral,backstreetboys why u bring like backstreet team
360,0,dont want ugly anymore
361,neutral,allisonfelmet what s wrong
362,0,miss friend much
363,neutral,mashable thanks tweetstats confirmed long suspected twitter keeping way late ht http twurl nl oaerf
364,neutral,patsytravers think twitter hate every come photo took age day change pic especially time
365,neutral,ogberry cold rainy
366,neutral,fun facebook
367,neutral,rock week idolnews think danny s gonna go home week he s never bottom three he s really good singer
368,neutral,duanecoffin maybe ask raise
369,0,nclusa sorry disappoint big nascar fan i m still all around decent redneck that
370,neutral,bacon fail ended commiseration muffin
371,neutral,jmes c ive sorted operating system apps seperate gb drive
372,neutral,find today first kiss
373,neutral,kimkardashian remind much omaha girl use date guess jean calvin klein wore
374,neutral,carlosv cool np got working series design
375,0,michelleweber never good time recourse small claim get atty involved
376,0,lathargic definitely need today rest sad bout havin call mentally needed
377,neutral,never alone think one care realize there always one person care
378,neutral,morning back
379,neutral,jasonturcotte say cheese camera throw western mass gang sign cool
380,neutral,dad mad cause hid room entire dinner party
381,neutral,wanted buy amber bensons death s daughter today
382,neutral,lelahg next time
383,neutral,jp ahhh lincoln i ll run see hour
384,neutral,compassandcoin alone
385,neutral,corie michele thanks that am following them love good cause
386,neutral,mathieuto neighbour fond loud nickelback
387,0,jacobmaestas think i ll ever one
388,neutral,bizfizz start tomorrow going book sam forgot
389,0,god opened cloud said hate josh
390,0,evening town jeremy sad carrie can t come
391,neutral,mypreciouskid quot nana quot quot nana rock quot rhinestone amp printed onesies quot my nana love me quot
392,neutral,lot noisy peep outside
393,neutral,deversum lolz i m way round english better dutch which considered weird p
394,neutral,may take trip loft get fan down it like spain except without pool cool xxxxxxxx
395,neutral,algo yes think safe say popularity level today always
396,0,im really tired much time sleep
397,neutral,going work am
398,0,that s it done already one proof there s nothing fair world http bit ly uemq
399,neutral,lil heidi v thank pretty lady
400,neutral,dmeeker alanstevens scrum coach sethrowe scottreynolds imho soft best keep chaos straight http bit ly yufil
401,0,dirtyliz we re right
402,0,lindseynhess agree great day window see it
403,neutral,roll arm cuz cant remember ever falling hard avalanche dc
404,neutral,lizajbeck know remember
405,0,mr reilly
406,0,got full day work today can t wait tell get home beer tv time got make money get beer
407,0,work tonight get paycheck
408,neutral,bggrice home added grice s list
409,neutral,oky grandperents went cause granda going drive missed hostipal
410,neutral,i m totally going bed right now
411,0,mad traffic
412,0,syzygy thank
413,0,want see bud mel miss hur load
414,neutral,dfizzy ya would loose appetite
415,neutral,work time
416,neutral,joesgagirl oh ok didn t know that
417,neutral,can t see result whyareyoustillhere
418,neutral,hopefully im getting new window tomorrow still using mum lap birthday tomorrow eve facebook doesnt work somehow
419,neutral,yonkers news post june newspaper furloughed
420,0,that s okay want watch shelby anyway
421,0,home sick friday studying im point weekend ruined
422,neutral,never sleep last night feeling horrible today time call work think
423,0,marley saddest movie ever never cry movie movie mad cry
424,0,markk h wake up tweet let know ur msn really need talk miss
425,neutral,kris brown holding onto one http twitpic com weh
426,neutral,going drinking tonight drinking away blue
427,neutral,going jack s tribute match today
428,0,going bed with sexy time ughhh
429,0,bigboyramsack kenny u alive i m getting da hair done to bad i m chillin w u todat kinda sad
430,neutral,pc tech woke little ago sleep couple hour lol i m wide awake
431,neutral,happy mother s day everyone great day make sure go see ya momma
432,neutral,noahbond good grief can t say much driving home martin ike last fall interesting hear say
433,neutral,bain i ll help pay reactivation
434,neutral,allymcfly o shouldnt judge song wrote tell shes mean haha
435,neutral,techstartups people still mail thing
436,0,alice lucky girl work day tomorrow maybe even monday
437,neutral,last tweet send bad phone
438,0,really mad forgetting may deadline mile award trip south america unitedairlines
439,neutral,snuffleupagous really wish could convince brandon move somewhere like that want move lexington
440,0,mind sunshine walk you summer
441,neutral,rachmurrayx work
442,0,really twitter mood today know
443,0,kellycombs i m bummed miss you hope enjoy writing conf tho
444,0,costume shop cleaning starving bring food
445,neutral,gretchenemily i m too b kid darn baby making foot grow
446,neutral,one million people dmv today
447,neutral,gonna brekkie get ready
448,neutral,revisingg
449,neutral,emmaroo youre going
450,neutral,they re gone
451,neutral,guy lived city paris where u spend entire life trafficjam grrrr m used anymore
452,0,kathleen bee coincidently friend cancelled movie date
453,neutral,bed girl
454,neutral,tofuatomic bos moving nyc
455,0,frank ups last day today sad see go best delivery guy ever hope new guy fucktard
456,0,dsml dont depress mother in law staying weekend someone else wait kid
457,neutral,jakolien hee hee btw thanks linkedin tip i ve still use them thanks advance
458,0,jaycoolk want go peach also miss kittin pendulum chase amp status bloody beetroot fair
459,0,mumbly joe trying guilt coming alumnus weekend think make either year suck lot
460,neutral,lilbrowngirlie see people like deadpool cause true comic i m guessing like ryan reynolds
461,neutral,flying falling getting distracted missing ground
462,neutral,p s ainsleykerr thought gonna follow back twit har
463,neutral,neilhimself give followfriday advice like told you
464,neutral,mayne getting hot georgia
465,neutral,gauravsaha two tweet go tweet
466,neutral,bed nighty night everyone
467,neutral,webchickbot portuguese national library could use also right seem ca web example http u nu y
468,0,sleep im not thinking old friend want he s married now damn amp want scandalous
469,neutral,hype friday amp raining outside no rain day rainin time kick it mr sun trippin
470,neutral,davidarchie cereal usually like
471,neutral,want sign germany field trip pero tengo dinero
472,neutral,aplusk maybe cause look innocent
473,neutral,th update
474,neutral,alot new picture tweet really old new check new one wish tweeeet http twitpic com wtyj
475,neutral,old enough know better young enough care
476,0,jjooss think wish could give tear blood make feel better
477,neutral,calebhawk cannot deal w tweet lol
478,neutral,check funny movie http tinyurl com dqwar
479,neutral,say i ve got number getting low http plurk com p wxpdr
480,0,rosellyanna forgot word started cry stopped singing carried cried stopped
481,neutral,snappytouch someone hardcoded mb brain back s
482,neutral,lwmedium go ticketmaster site say quot no lisa williams event found quot
483,neutral,marcmawhinney we ve never heard anyone say like anything monday morning must early cup coffee two
484,neutral,thetastydactyls try coat hanger trick
485,0,looking forward next week math geography english french exam totalling hour
486,0,ahh sore throat tired want go back bed work
487,neutral,caitymarie i m till
488,neutral,nadyanandita hey hey ketemu lagi kita di twitter
489,0,nzdeany i ve given pizza kid would never let fav the hot one
490,0,rafealanthem http www cultureshockmag com shoutz deejayschemes mix site gonna b nervvoouuss
491,neutral,many wire sort
492,neutral,http tinyurl com dsmh painthing
493,neutral,going learn hoedown throwdown today
494,neutral,michaelhyatt wow goin ethiopia biz holiday mission keen go
495,neutral,graciealbernaz know told you tell last tweet all can t get play music set play
496,neutral,realized can t forward text msg iphone
497,0,already miss cmontecillo
498,0,getting bored sitting hotel room entire day
499,0,fiendfyre never ever smoking around again
500,neutral,wathing dollhouse hulu eating special el taquito beer b day week going well
501,neutral,check ya ll bit im mother s day haircut ciao
502,0,ugh foot feel like they re going fall off
503,0,think good stood up
504,neutral,karen ok lol think might date
505,neutral,i m fully awake
506,neutral,elizabethlai study according note copy fine
507,0,jimithy can t come msbj lt
508,neutral,new pollster data party identification united state democratic independent republican ouch
509,neutral,iantalbot sion sierre close km live comment swiss army dog tag
510,neutral,notetoshells yes
511,neutral,mistressjojo delicateone good point mine way get delivered post pic wen get
512,neutral,justwatched like straight episode escaped id discovery channel guy imprisoned woman killed cooked
513,neutral,y o daughter kind argument mind love
514,neutral,plane ticket uk everywhere europe beyond cheap for june oct there s gig near future announced yet
515,neutral,jensara swann act model enjoyed shoot jensara friend yesterday http myspace com theveilonline
516,0,roxie feeling well http apps facebook com dogbook profile view
517,0,chloe drinking away sorrow dreambears got
518,neutral,rocking shania twain marathon
519,0,got attic w sadie art work included good time broke head phone bad time still happy buy attic
520,neutral,risamarie i m going
521,neutral,eincline that s right now stare everyone else working thier laptop
522,neutral,work
523,0,hammett wish could time xbox project tied
524,0,little slow try one ben amp jerry s mission marzipan bit letdown
525,neutral,teabot use facial recognition feature ilife
526,neutral,joeymcintyre btw still can t believe awesome newjabbakidz performance wa u mask i screamed pc
527,neutral,megspptc bjoie yeah meg said when block party ovah
528,neutral,tree frog yes are
529,0,msignorile weather suck
530,neutral,polaroidsof okay cool like camool zoo
531,0,cold beach sucky
532,neutral,im seeing hannah montana movie today
533,0,johnhensel hate u wait one week see cuz puerto rico still coming soon
534,neutral,tsarnick oh jonas brother s d movie come next week kangaroo land missed here
535,neutral,say watching matilda
536,neutral,taking request nkkairplay
537,0,avas writer aww one
538,neutral,thankful mom
539,neutral,really think play doh tastykake brownie
540,neutral,going sleep goodnight xoxo
541,neutral,suzyqbee told big head
542,0,hulu desktop look nice region
543,neutral,love song night quot then quot brad paisley happy mother s day love amp light joy
544,neutral,ravegabe do i m sure enjoy
545,neutral,saw dark burgundy scion xb dark shade make look like minivan shawdows line curve lost
546,neutral,from hell beeeeaaaaatooooo
547,neutral,cam sesh lined tomorrow c winner ill post screen shot lj friend unless convince otherwise
548,0,school boring
549,0,petercoffin maybe pas lay making swineflu illegal law abiding citizen get
550,0,gasfreecommute i d love able bike bus walk work safe area
551,neutral,hellosunlight want know audition mander text or reply please
552,0,impala guy would luv hear music iï¿½m battery tv play besides think kind vampire movie
553,neutral,dhazza hehe sure thing
554,neutral,emmdeecee today
555,0,listing sad song sad
556,0,blow torch broken real bummer
557,0,grr fatboy slim edc lineup
558,neutral,ohaiijess that s odd lap maybe that s cat o s
559,neutral,ddlovato check twitpic telling people buy album http www twitpic com jhn
560,neutral,mother s day wish google pretty amp beautiful flower google logo http www google co in
561,0,usouljah ohh emmm geee souvlaki dimitris i wanna go homeeee lol
562,neutral,reavel would thing pero la lavadora se daï¿½o
563,neutral,marieeeeah yeeaaahh even though suck twittering
564,0,teeribbzz noo u dont even know upset right now
565,neutral,nimbupani divya thnx lot bt imo resolve renaming prob let know apple would act upon feedback
566,neutral,rawrrxsteffie yeah quite kid school got swine flu close school kid
567,neutral,asphotos cool realise
568,neutral,come knight well hour
569,neutral,need word part freedom another assignment exam
570,neutral,bank holiday station now catch later
571,neutral,even spf besides need putting chemical face spf full block
572,neutral,sburkhead
573,neutral,woken mum work
574,neutral,made breakfast mom
575,neutral,mudweight hauled last time dandypig http yfrog com zrjqj
576,0,hot wing cafe willyum mild spicy bbq curly fry delicious http twitpic com wesr
577,neutral,misshilarypaige agree w u
578,neutral,msmyers no would easy user manual enough claim bike
579,neutral,josh shep nope really want play aswell
580,neutral,oh mix khichadi seems ready time lunch
581,neutral,star come out
582,neutral,oxtravaganza big brother and i m done
583,0,narain dun wanna travel way lunch now yeah there nice place missing shan e punjab though
584,0,i ve got nothing witty tweet
585,neutral,joeymcintyre wondering going put quot one many quot itunes hope do cd have
586,neutral,i m looking warbler seen yellow far blue grey gnatcatcher
587,neutral,braescotland may back later hope good day byeeee xxx
588,neutral,alisongo heard illegal unless caught
589,neutral,anyone indie head know donie hassle merchant surname is unarocks nialler karlusss help need copy
590,neutral,tired even though much today glad got catch second half cavs game juicyjesso
591,0,got early shit ton im headed cherokee park run walk
592,neutral,hello everybody ti cloudy day amanzimtoti today
593,neutral,inspired blog something inspirational haha
594,0,confused amp sad oh come quot sweet quot cheer
595,neutral,money money money http twitpic com uz
596,neutral,mom hair salon dying hair
597,neutral,week end time get back work
598,0,kiddshow deviantlysweet causeimrossome still shout spider
599,neutral,bethontop even reply old tomorrow
600,0,porter making sad panda
601,neutral,sitting home need pricing garage sale item but help boring
602,0,totally confused bored life must change
603,0,hypernyck get ticket picking lookin slim soo prob
604,neutral,someone united state liked eleminis http tinyurl com dhlqt
605,neutral,actually could going weight watcher
606,0,philispig competition around corner take slow least week twisted ankle back jc awfully painful
607,0,twitter trippin right pic
608,neutral,redmummy good morning hows u
609,0,missed math trade
610,neutral,gonzalolopez thnx lot recommendation dude
611,neutral,foxy hotsawce owwwwww gooood morning
612,neutral,lafloozita http twitpic com phze awe miss baby
613,neutral,now teardrop
614,neutral,feelme saw week diet sugar rice wheat potato much protein want sugar
615,0,wish could go meet middle tomorrow
616,neutral,follow dirty joe he s cool
617,0,george sad can t go car ride dad http apps facebook com dogbook profile view
618,0,i m work bored mind
